Employee_ID,Age,Gender,City,Education_Level,Department,Experience_Years,Monthly_Salary,Projects_Completed,Training_Hours,Certifications,Work_Life_Balance,Job_Satisfaction,Manager_Rating,Overtime_Hours,Commute_Time_Min,Laptop_Issue_Count,Cafeteria_Rating,Internet_Stability,Last_Promotion_Years,Absenteeism_Days,Performance_Category
10467,34,Male,Chennai,Diploma,Analytics,17.5,62870,,190,4,2,1,4.4,61,24,12,,Excellent,,4,High Performer
10468,51,Female,Chennai,Diploma,HR,1.2,66110,20,253,5,4,,4.1,25,104,6,1,Excellent,7.5,5,Low Performer
10469,39,Female,,Graduate,HR,,127414,13,270,2,5,4,2.6,66,,0,2,Good,,24,Average Performer
10470,36,Male,Mumbai,,HR,3.9,36077,11,139,2,1,3,3.5,78,49,2,1,,2.9,10,Average Performer
10471,25,Female,Mumbai,Graduate,Analytics,0.7,82874,19,249,2,,5,3.3,,85,2,1,Excellent,2.6,18,Low Performer
10472,55,Female,Hyderabad,Post Graduate,Sales,4.7,27754,28,35,2,3,5,3.3,43,,13,2,Poor,1.9,21,Average Performer
10473,32,Female,Mumbai,PhD,Operations,12.4,43688,38,263,2,1,2,3.6,,56,2,,,7.9,1,Average Performer
10474,45,Female,Chennai,Post Graduate,IT,4.5,25048,4,108,2,1,3,4.9,52,150,14,1,Average,,24,Low Performer
10475,41,Female,Kolkata,Post Graduate,Sales,9.4,40568,37,5,,5,1,4.4,43,29,6,5,Good,7.5,11,High Performer
10476,56,Male,Pune,,Analytics,16,115583,19,211,4,5,5,4.7,21,127,5,5,Good,3.1,24,High Performer
10477,43,Male,Delhi,Post Graduate,IT,12.6,112449,37,139,,2,3,2.1,1,133,10,5,Excellent,1.6,,Average Performer
10478,36,Female,Bengaluru,Diploma,IT,7.4,63217,14,,4,2,,2.4,6,45,11,2,Poor,1,13,Average Performer
10479,34,Female,Pune,Graduate,IT,7,145873,31,93,3,3,4,,15,106,1,,Poor,6.8,8,Average Performer
10480,51,Male,Kolkata,Post Graduate,Operations,8.5,43358,28,199,3,1,3,2.8,,22,4,4,Good,0.3,19,Average Performer
10481,25,Male,Bengaluru,Graduate,Finance,3.6,132064,36,126,4,3,1,3.3,64,133,5,1,Average,,15,Average Performer
10482,55,Female,Pune,Post Graduate,Analytics,11.6,29023,38,120,2,,5,3.9,72,171,11,3,Good,3.3,16,Average Performer
10483,43,Female,,Post Graduate,Operations,6.9,113387,19,200,1,4,4,3.5,70,163,1,5,Average,2,16,Average Performer
10484,49,Female,Chennai,Graduate,Operations,15.4,104728,1,40,0,5,2,4.7,68,106,14,2,Average,4.9,1,Low Performer
10485,31,Female,Kolkata,Graduate,Finance,13.7,45410,23,71,5,,1,4.8,60,75,13,3,Good,1.1,9,High Performer
10486,38,Male,Bengaluru,Graduate,IT,11.2,123696,28,137,5,1,,2.5,29,170,0,2,Excellent,0.6,10,Average Performer
10487,32,Male,Kolkata,Post Graduate,Finance,,29447,4,285,2,,2,4.6,41,12,3,3,Excellent,,2,Low Performer
10488,29,Female,Pune,Post Graduate,Finance,4.2,135954,18,15,4,1,1,,73,,13,3,Average,3.4,1,Average Performer
10489,30,Male,Chennai,Graduate,Operations,14.1,104569,39,222,5,2,5,3.4,24,77,14,1,Poor,4.1,3,Average Performer
10490,37,Male,Kolkata,Post Graduate,Analytics,9,113894,25,160,4,2,2,4.4,70,93,,3,Excellent,1.4,7,High Performer
10491,27,Male,Bengaluru,Post Graduate,,4.4,31907,18,,1,4,4,2.3,56,31,3,4,,0.5,,Average Performer
10492,33,Female,Delhi,Graduate,,3.9,39637,6,64,1,3,1,4.6,31,173,3,4,Average,2.9,19,Low Performer
10493,29,Female,Pune,Graduate,,3.4,41560,19,142,4,3,3,4,49,11,0,4,Average,4,17,Average Performer
10494,47,Male,,Post Graduate,IT,,21034,12,54,2,4,,4.6,74,36,2,,Average,6.1,0,Average Performer
10495,22,Male,Mumbai,Diploma,IT,4.5,149241,25,171,2,2,4,5,9,77,6,1,Excellent,4,,Average Performer
10496,25,Female,Delhi,Graduate,Operations,9.7,110449,35,169,2,,4,3.6,21,103,3,2,Excellent,6.3,22,Average Performer
10497,49,Other,Delhi,,IT,8.4,21239,1,193,5,4,3,2.3,40,116,1,5,Poor,0.9,1,Low Performer
10498,,,Hyderabad,Graduate,,10.6,21415,5,96,0,3,4,2.5,46,148,7,4,Poor,0.5,7,Low Performer
10499,39,Male,Pune,Post Graduate,Finance,15.9,94944,,298,0,4,1,3,13,134,10,1,Good,1.3,9,Low Performer
10500,28,Male,Mumbai,Graduate,,15.7,71987,8,293,2,4,2,2.3,2,175,0,4,Average,6.2,18,Low Performer
10501,21,Female,Delhi,Graduate,Analytics,8.4,36225,39,79,,,,4.4,77,35,12,1,Excellent,6.1,6,High Performer
10502,42,Male,Chennai,Post Graduate,Sales,0.8,98459,18,49,1,,4,2.9,,84,,2,Poor,1.1,16,Low Performer
10503,37,Male,Bengaluru,Post Graduate,Operations,8,38936,,57,3,1,3,4.9,15,179,4,2,Average,0.2,2,Average Performer
10504,27,Female,Delhi,Graduate,HR,11.1,57612,5,,1,2,3,4.1,60,37,1,4,Average,5.5,24,Low Performer
10505,45,Female,Mumbai,,Finance,10.3,113533,4,165,1,4,5,2.5,27,149,12,3,Good,6.8,14,Low Performer
10506,24,Male,Delhi,Post Graduate,Finance,11.9,138877,29,71,3,2,3,3.4,34,103,13,1,Average,6,3,Average Performer
10507,56,Female,Bengaluru,,Analytics,3.2,120269,1,,2,3,3,3.4,1,,3,5,Poor,1.6,16,Low Performer
10508,26,Male,Mumbai,Graduate,HR,11.8,57952,30,128,,1,4,,60,58,2,,Good,4.7,,Average Performer
10509,51,Female,Pune,PhD,HR,3.7,76945,1,186,3,4,2,3.6,55,139,,2,Excellent,6.1,5,Low Performer
10510,39,Male,,,Operations,,23380,3,186,5,3,2,2.1,54,143,5,1,Good,,16,Low Performer
10511,47,Female,Pune,Post Graduate,Operations,6.4,98821,,40,4,2,4,4.1,17,34,10,3,Average,4.2,9,Average Performer
10512,30,Male,Mumbai,Diploma,,12.9,67744,8,216,,2,,3.5,70,86,11,5,Average,2.5,0,Low Performer
10513,46,Female,Kolkata,Graduate,Finance,1.3,,,138,4,3,1,4.4,48,61,10,3,Poor,1.8,17,Low Performer
10514,39,Female,Bengaluru,Graduate,IT,7.6,75331,,182,2,2,2,4.4,41,178,8,,Average,7.8,,Average Performer
10515,23,Female,,Post Graduate,Operations,12.8,110551,20,170,1,,4,2.7,6,74,3,2,Excellent,7.3,,Low Performer
10516,33,Female,Mumbai,PhD,Analytics,,81815,31,50,1,5,1,2.1,3,70,11,1,Poor,3.6,,Average Performer
10517,48,Female,Kolkata,Diploma,Analytics,14.4,89519,30,160,0,,3,4.1,42,111,2,2,,1.1,23,High Performer
10518,40,,Delhi,Post Graduate,Analytics,11.5,,16,240,4,4,4,4.9,79,14,6,1,,5.8,21,Average Performer
10519,48,Male,Bengaluru,Graduate,Operations,10.8,127365,2,64,2,2,2,3.3,58,,5,3,,2,0,Low Performer
10520,28,Female,Pune,Post Graduate,Operations,6.7,54366,17,,3,4,1,2.8,48,78,,2,,1.3,21,Average Performer
10521,21,Male,,Graduate,Analytics,8.9,117830,10,185,2,,,2.5,59,77,14,1,Excellent,3.1,0,Average Performer
10522,23,Female,Chennai,Post Graduate,Operations,11,59911,7,,,2,2,,5,66,14,5,Excellent,4.2,,Low Performer
10523,33,Female,,Graduate,IT,8.8,101422,9,269,4,4,1,3,19,113,9,1,Good,0.8,13,Average Performer
10524,48,Male,Kolkata,Graduate,IT,12.7,71619,,227,0,1,2,,30,175,6,2,Poor,4.6,2,Average Performer
10525,45,Female,Hyderabad,Post Graduate,Sales,8.1,40791,9,241,,,4,,21,46,4,2,Good,0.1,11,Average Performer
10526,53,Male,Hyderabad,Post Graduate,Finance,4,26301,9,17,,5,5,2.8,31,28,8,3,,7.1,16,Average Performer
10527,26,Female,Pune,Graduate,IT,4.2,144866,37,272,0,1,3,2.2,46,9,11,5,Good,7.4,,Average Performer
10528,52,Male,Chennai,Graduate,Sales,0.6,121623,24,270,,2,4,3.1,33,,3,1,Good,5.9,1,Low Performer
10529,41,Male,Hyderabad,PhD,HR,5.8,130824,,20,,5,3,4.6,26,103,0,2,Good,3.7,5,Average Performer
10530,36,Female,Hyderabad,Post Graduate,Finance,13.6,54894,11,96,2,1,,3.5,43,124,9,1,,2,0,Average Performer
10531,41,Female,Mumbai,Graduate,IT,14.4,97618,8,252,5,1,2,4.9,29,81,11,4,Average,6,22,Low Performer
10532,31,Female,Mumbai,,HR,4,88994,25,23,1,5,5,3.5,32,105,4,5,Good,7.5,,Average Performer
10533,57,Male,Mumbai,Graduate,Sales,17.3,59770,,107,4,4,,2.8,,100,0,5,,1.3,3,Low Performer
10534,56,Male,Delhi,Diploma,IT,9.3,40300,10,,2,3,3,2.6,55,177,11,,Poor,3.7,22,Average Performer
10535,55,Female,Hyderabad,Post Graduate,IT,16.5,136025,,287,0,4,4,4.1,,124,12,5,Average,2.5,15,High Performer
10536,39,Male,Delhi,Post Graduate,Operations,12.9,138605,16,217,2,2,5,3.6,42,69,0,4,Poor,2.9,19,Average Performer
10537,40,Female,Chennai,,,13.1,58285,19,41,,4,,3.8,53,125,0,1,,3.2,10,Average Performer
10538,38,Female,,Graduate,IT,2,135713,31,65,1,3,3,,67,94,0,4,Poor,7.6,,Low Performer
10539,34,Female,Pune,Post Graduate,Analytics,4.3,66671,11,295,,3,5,4.2,52,119,7,3,Excellent,2.1,19,Average Performer
10540,35,Female,Hyderabad,Post Graduate,Operations,0.7,136216,6,248,5,1,4,2.1,39,81,1,4,Poor,3.9,9,Low Performer
10541,51,Male,Pune,Graduate,,13,38270,6,,1,2,2,4.4,59,36,8,1,Average,7.6,7,Low Performer
10542,21,Female,Kolkata,Graduate,IT,6.5,137870,32,169,,1,,3.6,8,116,6,5,Good,3.8,1,Average Performer
10543,23,,Mumbai,Post Graduate,Operations,14.3,145897,39,17,5,4,1,3.2,9,56,13,3,Excellent,6.9,,Average Performer
10544,36,Female,Hyderabad,Diploma,Finance,6.4,90265,,29,,4,3,3.6,9,,10,4,Good,0.5,0,Average Performer
10545,43,Male,Bengaluru,Graduate,HR,14.8,29171,3,228,1,5,3,3.8,29,34,2,1,Average,7.6,22,Low Performer
10546,31,Female,Delhi,PhD,Finance,2.8,78684,,127,1,1,,2.4,9,74,8,3,,1.5,6,Low Performer
10547,32,Female,Delhi,Post Graduate,Sales,3.5,67948,38,133,2,,1,,57,75,3,3,,7.8,21,High Performer
10548,30,Male,,Graduate,Finance,6.5,52725,17,,1,1,,3,35,115,6,3,Poor,,13,Average Performer
10549,52,Male,Kolkata,Graduate,Analytics,7.6,37450,,39,2,1,1,3.1,43,162,14,4,Average,3.6,3,Low Performer
10550,36,Female,,Graduate,Operations,6.6,143900,34,87,4,3,2,2.3,,,2,,Good,2.5,20,Average Performer
10551,28,Male,Delhi,Post Graduate,Operations,13.9,102600,12,186,5,5,5,2.5,42,52,4,1,Good,3.5,16,Average Performer
10552,32,Male,Mumbai,Graduate,Analytics,2.2,129315,24,80,2,2,1,2.5,22,164,12,,Good,2,1,Low Performer
10553,,Male,Chennai,Graduate,Operations,6.6,38115,6,108,3,2,5,3.1,3,74,3,2,Average,7.7,22,Low Performer
10554,48,Male,Pune,Post Graduate,Finance,15.2,117405,,236,1,2,4,4.7,11,,12,,Excellent,2.4,1,Average Performer
10555,28,Female,Kolkata,,Sales,1.7,105404,27,47,4,3,2,2.6,48,72,5,1,Good,5.2,7,Low Performer
10556,48,Female,Bengaluru,Graduate,IT,17,128670,24,97,5,5,5,3.2,23,,11,2,,1.1,6,Average Performer
10557,56,Male,Pune,Graduate,Analytics,17.8,60738,,148,0,5,1,2.9,12,63,12,2,Excellent,6.6,,Average Performer
10558,46,Male,Pune,Post Graduate,Finance,2,99666,27,258,,3,1,4.4,67,122,8,,Excellent,,,Low Performer
10559,28,Male,Chennai,Post Graduate,Finance,,,21,82,0,1,5,2.2,71,167,14,5,Excellent,7.8,16,Average Performer
10560,48,Male,Delhi,Post Graduate,Finance,,28728,34,267,3,4,5,2.6,33,116,4,3,,3.4,22,Average Performer
10561,48,Male,Bengaluru,Graduate,IT,14.1,123852,33,74,,1,,2.6,8,,14,5,Poor,1.6,16,Average Performer
10562,57,,Delhi,Post Graduate,HR,10.9,101911,18,153,5,2,2,5,9,,0,3,Average,2.8,,Average Performer
10563,,Male,,Post Graduate,Operations,11.8,135616,,296,,1,3,3.7,64,119,12,,Good,5.9,24,Low Performer
10564,47,Female,Pune,Post Graduate,Operations,13.8,54214,24,218,4,3,4,2.4,,109,4,5,Excellent,5.3,,Average Performer
10565,37,Male,Hyderabad,,Sales,2.6,,1,151,3,2,4,2.8,,70,4,2,Excellent,6.2,14,Low Performer
10566,29,Female,Mumbai,Graduate,HR,15.1,86408,6,29,2,4,4,2.5,53,10,8,,Excellent,0.6,1,Low Performer
10567,53,Female,Pune,Graduate,Operations,12.8,52103,19,113,5,2,1,2.4,42,18,7,5,Excellent,4.6,,Average Performer
10568,,Female,Delhi,,Sales,,88949,22,,0,1,5,4.4,58,161,4,3,,7.5,16,High Performer
10569,33,Female,Pune,Post Graduate,Sales,16.1,31423,,255,2,5,2,3.5,58,110,4,4,Average,0.9,23,Low Performer
10570,48,Male,Mumbai,Post Graduate,,12.8,56062,5,207,2,5,1,3.9,66,158,14,4,Poor,0.8,12,Low Performer
10571,49,,Chennai,Graduate,Analytics,4,19987,9,174,1,5,4,3,60,22,13,1,Poor,5.7,3,Average Performer
10572,33,Female,,Diploma,Finance,8,80979,21,179,0,2,2,3.7,37,8,1,,Average,2.5,23,Average Performer
10573,55,Male,Hyderabad,Post Graduate,,9.1,55597,28,174,,5,1,2.8,7,61,8,4,Good,5.3,17,Average Performer
10574,26,Female,Delhi,Graduate,Operations,1.5,101905,,6,1,3,3,,64,123,13,3,,4.4,13,Low Performer
10575,38,Female,Pune,Graduate,Sales,17.2,94970,24,138,1,4,4,4,,,10,3,,7.9,18,Average Performer
10576,25,Male,Delhi,Post Graduate,,2.8,81805,8,131,4,5,1,2.5,,106,14,2,Average,7.1,2,Low Performer
10577,45,Male,Chennai,Post Graduate,,12.7,,17,50,3,3,1,3.9,59,29,3,4,,5.4,3,Average Performer
10578,22,Male,Pune,Post Graduate,Sales,9.4,75467,34,,2,,4,4.6,25,179,6,,Average,2.1,24,High Performer
10579,30,Female,Pune,PhD,Sales,0.9,125732,20,213,5,2,3,2.4,10,166,9,3,Good,2.1,,Low Performer
10580,50,,Delhi,Graduate,Finance,16.7,119460,16,62,2,2,5,4.7,33,148,5,2,Poor,7.1,20,Average Performer
10581,25,Female,,Graduate,Analytics,15.4,136105,10,82,2,4,3,2.2,1,98,13,4,Excellent,4.7,22,Average Performer
10582,53,Female,,PhD,Analytics,,142535,34,,4,,4,3,20,131,4,3,,6.3,13,Average Performer
10583,21,Male,Kolkata,,,4.5,27458,10,293,,1,5,3.8,25,128,10,2,Excellent,3.6,24,Low Performer
10584,38,Male,Kolkata,,Sales,2.6,86481,30,66,0,,1,,75,40,10,2,Average,0.8,16,Low Performer
10585,52,Female,Chennai,PhD,Analytics,6.9,92888,30,272,,2,,2.3,72,160,4,3,Average,,1,Average Performer
10586,31,Female,Kolkata,Graduate,Analytics,5,94022,25,130,2,3,3,4.4,4,,13,2,Good,1.3,,Average Performer
10587,41,Other,Mumbai,PhD,Operations,9.4,,7,,,1,5,4.9,8,57,6,,Good,6.3,21,Low Performer
10588,46,Male,Hyderabad,,Finance,17.4,88648,20,92,4,,,2.5,49,174,13,,Excellent,5.6,15,Average Performer
10589,45,Male,Pune,Graduate,HR,10.6,34937,17,265,,3,3,4.7,9,83,12,,Excellent,0.7,18,Average Performer
10590,42,Female,Delhi,,IT,16.1,,3,183,3,2,5,3.7,,102,1,,Average,5,15,Low Performer
10591,,Female,Pune,Graduate,HR,11.9,66355,,,4,5,3,4.8,9,151,8,,Poor,7,10,High Performer
10592,33,Female,Pune,Graduate,Analytics,8.8,93561,26,64,2,1,1,2.5,77,48,1,4,,5.6,13,Average Performer
10593,53,Female,Bengaluru,,Sales,15.5,136181,10,253,,3,,4.4,35,34,8,3,,4.1,6,Average Performer
10594,54,Male,Hyderabad,Graduate,IT,,78482,34,173,3,2,2,2.2,,78,10,2,Poor,2.5,4,Average Performer
10595,,Female,Bengaluru,Graduate,IT,,97098,14,,,2,5,4.6,55,176,3,3,Good,7.1,,Average Performer
10596,21,Female,Kolkata,Post Graduate,Sales,5.6,140978,8,116,,1,4,4,61,121,12,5,Good,3.4,16,Low Performer
10597,41,Female,Pune,Graduate,IT,2.8,74625,,104,0,1,3,3.1,,159,9,2,Excellent,,24,Low Performer
10598,26,Female,Delhi,Graduate,Sales,15.5,142359,10,219,0,4,1,2.6,40,88,,3,Poor,6.3,13,Average Performer
10599,48,Male,Pune,Post Graduate,IT,10.8,89246,15,,1,4,3,4.4,47,77,9,5,Average,6.5,9,Average Performer
10600,,Male,Hyderabad,PhD,Operations,16.1,30588,37,101,2,1,3,,21,38,5,,,7.9,,Average Performer
10601,25,Other,,Post Graduate,Operations,16.9,133910,22,122,1,1,4,3.1,79,,0,4,Average,6,11,High Performer
10602,51,Male,,Graduate,HR,1.4,146658,31,40,2,3,1,3.3,60,89,4,4,Poor,0.3,,Low Performer
10603,25,Female,Pune,Post Graduate,,9.3,38967,2,,4,4,2,4.5,74,156,5,4,Excellent,1.6,7,Low Performer
10604,23,Male,Chennai,Graduate,Finance,7.1,148153,31,128,3,2,5,3,47,60,8,4,Poor,0.3,11,Average Performer
10605,43,Female,Hyderabad,Graduate,Sales,11.5,42256,14,44,,4,3,2.3,63,11,13,1,Poor,1.5,3,Average Performer
10606,57,Female,,Graduate,IT,14.4,146121,10,145,0,4,4,4.7,36,55,8,3,Poor,0.5,12,Average Performer
10607,57,Female,Chennai,Post Graduate,Operations,5.4,98732,30,30,4,1,,3.2,40,140,8,,Average,4,24,Average Performer
10608,30,Male,Pune,Graduate,Operations,10.2,148145,36,146,5,1,5,3,4,62,13,5,Good,0.2,20,Average Performer
10609,30,Female,Hyderabad,Graduate,Sales,12.9,116120,15,61,,4,5,2.6,76,89,2,2,Excellent,3.8,16,Average Performer
10610,39,Male,Delhi,Graduate,Finance,,62840,14,154,,5,1,4.7,51,73,12,3,Average,7.2,,Low Performer
10611,37,Male,Pune,PhD,IT,14.7,130647,31,209,4,,3,2.7,16,12,3,1,Poor,6,24,Average Performer
10612,41,Female,Pune,Post Graduate,IT,11.1,77321,,80,,4,3,3.9,61,156,7,,Average,7.6,20,Average Performer
10613,34,Female,Bengaluru,Graduate,Finance,,61202,,289,2,5,5,4.6,,174,7,3,Poor,1.8,4,High Performer
10614,29,Female,Hyderabad,Post Graduate,Finance,6.4,77231,21,214,1,4,2,2.1,19,58,1,4,Poor,4.2,5,Average Performer
10615,21,Male,Hyderabad,Post Graduate,,2.4,39552,9,262,2,1,3,4.5,15,148,7,4,,2.5,8,Low Performer
10616,33,Male,Chennai,Post Graduate,,9.4,39661,20,,1,1,4,3.2,6,136,6,,Poor,4,,Average Performer
10617,24,Male,,,Sales,2,149642,,188,5,1,5,4,65,63,8,5,Average,4.5,1,Low Performer
10618,21,Male,Kolkata,,Finance,17.5,83843,15,15,2,2,3,3.1,11,98,4,4,Poor,0.3,2,Average Performer
10619,52,Male,Bengaluru,Graduate,Sales,1.2,87278,24,,3,1,1,4.1,42,,1,2,Average,1.9,10,Low Performer
10620,54,Female,Hyderabad,Post Graduate,HR,13.7,112328,16,264,5,1,5,2.8,39,98,4,1,Average,5.6,9,Average Performer
10621,48,Male,Pune,Graduate,IT,9.7,149837,36,92,1,4,4,2.1,0,,13,4,,6.2,2,Average Performer
10622,51,Female,Bengaluru,Graduate,IT,7,144355,11,188,0,5,1,4.8,57,17,1,5,Average,4.6,8,High Performer
10623,28,Female,,Graduate,Analytics,,42198,8,20,5,5,,2,2,41,12,,,2.2,7,Low Performer
10624,46,Female,Bengaluru,Post Graduate,HR,11.4,79201,3,248,5,1,5,4.5,7,79,11,4,,3.2,,Low Performer
10625,54,Female,Chennai,Graduate,Finance,,91271,19,90,5,,3,2.5,74,62,14,,Good,0.8,21,Average Performer
10626,23,Female,Kolkata,Post Graduate,Finance,5.4,129578,3,203,1,1,,3.2,60,23,4,2,,7.6,20,Low Performer
10627,32,Male,Bengaluru,Graduate,Operations,16.4,58364,36,,1,4,5,4.5,4,150,14,2,Good,6.9,1,High Performer
10628,21,Male,Chennai,Post Graduate,HR,5.8,133227,25,168,2,4,4,2.6,,149,12,5,Excellent,0.5,24,Average Performer
10629,25,Male,Bengaluru,,Finance,,118353,36,28,3,4,1,4.6,72,143,14,3,Poor,1.3,9,High Performer
10630,50,Female,Kolkata,,Analytics,10,95564,11,68,5,5,3,3.5,16,147,8,3,,4.6,23,Average Performer
10631,50,Female,Bengaluru,Post Graduate,Sales,2.3,123447,16,,2,2,2,3.1,65,112,6,3,Poor,1.9,13,Low Performer
10632,37,Male,Delhi,Post Graduate,IT,16.8,37631,17,,2,5,5,,50,149,6,5,Average,7.5,4,Average Performer
10633,43,Female,Chennai,Graduate,HR,7.1,51500,24,26,3,4,2,3,46,94,0,4,Good,6,21,Average Performer
10634,35,Female,Kolkata,,IT,1.9,,,184,2,3,5,3,39,124,8,2,Excellent,,24,Low Performer
10635,57,Male,Chennai,Graduate,Sales,,120760,20,51,3,2,3,4.2,26,9,5,2,,0,,Average Performer
10636,41,Other,Chennai,,HR,11,44897,22,,0,1,,2.9,39,136,6,4,Average,6.4,12,Average Performer
10637,34,Male,Mumbai,Post Graduate,Sales,9.5,119639,,228,3,5,3,2.6,,60,12,2,Good,3.4,3,Low Performer
10638,22,Male,Kolkata,Graduate,Finance,12.7,131849,7,222,4,2,3,4.4,45,108,11,,Excellent,5.1,20,Low Performer
10639,,Female,Bengaluru,Graduate,Finance,1.5,129118,14,241,3,3,1,4.4,10,52,1,3,Poor,2.3,8,Low Performer
10640,54,Male,Chennai,Post Graduate,,,75320,11,208,3,,1,3.5,38,52,0,3,Poor,1.1,,Average Performer
10641,54,Female,Hyderabad,Post Graduate,Sales,14.8,86289,12,23,,5,5,3.6,17,167,10,,Good,5.4,20,Average Performer
10642,38,Male,Mumbai,Diploma,Sales,1.9,49941,5,184,3,4,1,4.1,46,,12,1,Average,3.6,,Low Performer
10643,50,Male,Delhi,Post Graduate,Sales,15.5,93172,,166,1,1,5,3.5,73,165,3,2,Average,,18,Low Performer
10644,35,Female,Chennai,Post Graduate,IT,2.1,21376,20,289,2,4,1,3.3,20,104,11,3,Poor,1.1,23,Low Performer
10645,,Male,Chennai,,Sales,15.1,48783,15,,2,4,1,5,27,25,8,1,,4.6,13,Average Performer
10646,54,Male,Mumbai,Graduate,Finance,6.8,61025,26,89,0,5,1,2.4,0,106,13,1,,5.8,22,Average Performer
10647,53,Male,Bengaluru,Graduate,Analytics,11.2,34447,,39,0,4,4,3.8,13,9,8,3,Good,,,Average Performer
10648,44,Female,,Post Graduate,Sales,3.2,,30,9,4,4,,4.7,19,153,13,1,Poor,5.9,19,Average Performer
10649,35,Male,Delhi,Post Graduate,Analytics,1.7,146869,24,80,1,5,4,4.1,72,93,10,4,Average,1.5,7,Low Performer
10650,50,Male,Chennai,PhD,Finance,4.3,22858,23,257,0,5,1,4.6,44,78,2,4,Good,2.7,9,Average Performer
10651,37,Male,Bengaluru,Graduate,Sales,,77834,9,11,2,3,1,3,60,126,0,3,Average,6,19,Low Performer
10652,25,Male,Kolkata,Graduate,IT,,100060,,173,0,4,4,2.8,26,164,1,3,Average,5.3,0,Low Performer
10653,49,Female,Hyderabad,Graduate,IT,,121898,36,,0,2,5,,55,150,14,1,Poor,2.2,19,High Performer
10654,24,Female,Kolkata,Graduate,Analytics,10.8,120207,7,,3,1,3,3.2,51,62,8,2,Average,1,4,Low Performer
10655,30,Male,Hyderabad,Graduate,Operations,14.3,104366,22,95,,1,5,4.1,67,,8,5,Excellent,0.3,14,High Performer
10656,37,Female,Delhi,Post Graduate,IT,12,18869,14,167,4,5,,,36,83,11,,,6.7,7,Average Performer
10657,30,Male,Pune,Graduate,IT,11.2,80624,29,,2,5,2,4.3,30,156,0,4,Poor,0.6,9,High Performer
10658,37,Female,Hyderabad,Post Graduate,IT,7.7,111676,16,205,4,3,3,3.6,48,9,8,3,Good,0.9,5,Average Performer
10659,40,Female,Pune,Graduate,Finance,8.8,21659,,24,,4,5,2.8,52,131,0,2,Average,1.9,,Average Performer
10660,44,Male,Kolkata,,IT,7.8,124888,10,233,5,5,,3.5,38,100,9,3,Excellent,3.6,14,Low Performer
10661,25,Female,Hyderabad,Graduate,HR,15.2,,7,167,1,5,2,4.1,9,137,3,,Poor,6.3,9,Low Performer
10662,54,Female,Delhi,Graduate,Sales,,135136,25,169,,1,2,2,8,126,4,2,,2,20,Average Performer
10663,26,Male,Mumbai,Graduate,IT,0.6,80758,27,236,5,4,1,3.9,12,173,7,1,Average,4.3,,Low Performer
10664,,Male,Delhi,Diploma,Operations,11.9,109150,15,242,3,3,2,3.6,17,102,12,4,,0.7,3,Average Performer
10665,33,Male,Delhi,,,4,35216,32,124,4,5,4,2.7,11,139,4,3,Good,3.7,21,Low Performer
10666,31,Female,Mumbai,Post Graduate,IT,16.1,59209,28,111,1,5,5,4.3,71,94,4,3,Average,1.4,5,High Performer
10667,43,Female,Mumbai,Graduate,IT,15.5,60987,9,254,2,5,4,2.9,4,133,3,5,Good,1.7,14,Average Performer
10668,36,Female,,Diploma,HR,1.8,126024,,288,,1,4,2.8,6,56,8,2,Excellent,2.9,,Average Performer
10669,51,Female,Hyderabad,Graduate,IT,2.4,60320,,202,1,5,,3.4,14,102,12,4,Excellent,6.1,,Low Performer
10670,31,Female,Kolkata,Graduate,IT,9.2,29301,26,224,4,5,4,4,66,30,7,5,Excellent,6,10,Average Performer
10671,36,Female,Bengaluru,Post Graduate,,11.2,144560,35,155,4,1,4,4.8,17,125,8,5,Excellent,3.3,,High Performer
10672,28,Female,Mumbai,Diploma,Operations,5.3,18891,17,290,3,5,4,2.4,37,16,6,3,Poor,,7,Average Performer
10673,24,Male,Pune,,HR,,68457,23,269,3,4,2,,25,74,6,2,Good,2.2,23,Average Performer
10674,24,Female,Kolkata,Graduate,Operations,10.9,131389,8,224,,,5,2.2,,88,4,3,,4,21,Low Performer
10675,45,Female,Pune,Diploma,HR,6.2,38932,2,220,2,1,,4.3,58,23,9,2,Poor,7,13,Low Performer
10676,23,Male,Delhi,Graduate,Operations,0.9,22192,31,,3,4,5,3.3,51,136,0,5,,7.7,3,Low Performer
10677,52,Female,Chennai,Graduate,IT,13.6,34128,,220,,3,4,4.1,32,100,11,1,Good,5.1,17,High Performer
10678,23,Male,Delhi,Post Graduate,Operations,4.3,40836,29,118,2,5,2,3,20,9,5,4,Average,,5,Average Performer
10679,47,Male,Delhi,PhD,Operations,,42837,3,165,,3,5,4.5,,125,9,5,Average,5.5,5,Low Performer
10680,49,Female,Chennai,Post Graduate,HR,,135028,8,102,2,4,3,3.6,61,,5,3,Average,2.7,18,Low Performer
10681,52,Male,Hyderabad,Diploma,Analytics,10.6,134481,2,161,,1,5,4.8,58,58,9,4,Good,5,1,Low Performer
10682,39,Male,Mumbai,Post Graduate,HR,15.8,143176,31,166,2,1,1,2.2,1,22,3,,Excellent,2,3,Average Performer
10683,41,Male,Pune,Graduate,HR,15.6,143172,37,46,,3,,3.5,,68,1,2,,2.1,23,Average Performer
10684,25,Female,Delhi,Diploma,HR,7,,20,184,1,,5,4.3,24,142,14,3,Good,0.6,,Average Performer
